"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200703557-01","취소","프렌비숲유치원 놀이마당 3D 트릭아트 조성 용역","강원도교육청 강원도강릉교육지원청 프렌비숲유치원","강원도교육청 강원도강릉교육지원청 프렌비숲유치원","일반(총액)","2020/07/03 12:54(2020/07/13 15:00)"
"용역","20200702552-00","일반","2020학년도 금계초, 금포초 외부운반(중식) 위탁급식업체 선정 공고","대구광역시교육청 대구광역시달성교육지원청 대구금계초등학교","대구광역시교육청 대구광역시달성교육지원청 대구금계초등학교","제한(단가)협상에의한계약","2020/07/03 12:26(2020/07/14 15:00)"
"용역","20200703512-00","일반","초경량비행장치(멀티콥터) 조종자 교육 용역","관세청 인천세관","관세청 인천세관","제한(총액)","2020/07/03 12:15(2020/07/08 10:00)"
"용역","20200703534-00","긴급","소정지구 자연재해위험지구 개선사업 기본 및 실시설계 용역","충청남도 서산시","충청남도 서산시","지명경쟁","2020/07/03 11:48(2020/07/09 10:00)"
"용역","20200703536-00","일반","도시숲 조성 기본 및 실시설계 용역","인천광역시 부평구","인천광역시 부평구","제한경쟁","2020/07/03 11:47(2020/07/09 14:00)"
"용역","20200703514-00","일반","공주문화관광지 조성계획 변경 용역","충청남도 공주시","충청남도 공주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/03 11:36(2020/07/09 10:00)"
"용역","E082000306-00","일반","공공데이터 운영 및 품질관리 컨설팅 용역 (협상에 의한 계약)","한국동서발전주식회사","계약자재부","제한(총액)","2020/07/03 11:36(2020/07/14 11:00)"
"용역","20200703508-00","일반","건설현장 안전사고 조사 및 관리기술 고도화 방안","재단법인 서울특별시 서울기술연구원","재단법인 서울특별시 서울기술연구원","제한(총액)협상에의한계약","2020/07/03 11:33(2020/07/20 17:00)"
"용역","20200703493-00","일반","오산대원초 화장실개선공사 건설폐기물처리용역","경기도교육청 경기도화성오산교육지원청","경기도교육청 경기도화성오산교육지원청","수의(총액)소액수의","2020/07/03 11:28(2020/07/09 10:00)"
"용역","20200703489-00","일반","거점형 키움센터 지역별 특화 방안 수립을 위한 학술용역","서울특별시","서울특별시","제한(총액)협상에의한계약","2020/07/03 11:26(2020/07/14 17:00)"
