업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),,
용역,20200522843-00,일반,지능형 클라우드 컴퓨팅센터 통합관리 BPR/ISP 사업,조달청,행정안전부 국가정보자원관리원,일반(총액)협상에의한계약,2020/05/19 18:01(2020/06/02 10:00),,
용역,20200522536-00,일반,전 원전 MPAS 모델 및 위험도 평가 관리 시스템 구축(1단계),조달청,한국원자력안전기술원,수의(총액),2020/05/19 18:00(2020/05/26 12:00),,
용역,20200519721-00,일반,온라인 세종학당 한국어 중급 교육과정 및 평가 연구,조달청 서울지방조달청,세종학당재단,수의(총액),2020/05/19 18:00(2020/05/21 10:00),,
용역,20200522325-00,일반,디지털성범죄피해자지원센터 삭제지원시스템 고도화,조달청 서울지방조달청,한국여성인권진흥원,제한(총액)협상에의한계약,2020/05/19 17:59(2020/06/02 10:00),,
용역,20200523319-00,일반,한국식품연구원 융합연구동 건립 설계용역,조달청,한국식품연구원,수의(설계공모),2020/05/19 17:59(-),,
용역,20200523529-00,일반,군산시 산북배수분구 도시침수예방사업 기본 및 실시설계,한국환경공단,한국환경공단,일반경쟁,2020/05/19 17:58(2020/06/10 12:00),,
용역,20200522212-00,일반,두루누리 연금보험료 지원 고시개정에 따른 정보시스템 구축,조달청,국민연금공단,제한(총액)협상에의한계약,2020/05/19 17:58(2020/06/30 10:00),,
용역,20200519047-00,긴급,우주기상 자료 품질개선 및 활용 서비스 기술개발,조달청,기상청 국가기상위성센터,제한(총액)협상에의한계약,2020/05/19 17:57(2020/06/09 10:00),,
용역,20200523505-00,긴급,[입찰대행]장성분구 하수관로 정비사업 건설사업관리(설계단계)용역,강원도 태백시,강원도 태백시,제한경쟁,2020/05/19 17:57(2020/05/25 10:00),,
용역,20200523131-00,긴급,천리안위성 2A호 위성자료 품질관리 기술개발,조달청,기상청 국가기상위성센터,제한(총액)협상에의한계약,2020/05/19 17:57(2020/06/09 10:00),,
용역,20200523020-00,일반,2020년 가압장 및 배수지 조경관리용역 입찰공고,울산광역시 상수도사업본부,울산광역시 상수도사업본부,제한(총액),2020/05/19 17:56(2020/05/27 10:00),,
용역,20200523530-00,일반,정선군 임계면 낙천2리(미락동) 급수구역 확장공사 폐기물처리용역,한국환경공단,한국환경공단,수의(총액)소액수의,2020/05/19 17:56(2020/05/28 10:00),,
용역,20200523486-00,일반,2020년 진하해수욕장 수상안전요원 배치 용역,울산광역시 울주군,울산광역시 울주군,제한(총액),2020/05/19 17:56(2020/05/27 10:00),,
용역,20200522877-00,일반,새만금 그린인프라 기본구상 및 타당성 분석 용역,조달청 전북지방조달청,새만금개발청,일반(총액)협상에의한계약,2020/05/19 17:55(2020/06/02 10:00),,
용역,20200523057-00,긴급,유등전시관 건립 건축설계공모,경상남도 진주시,경상남도 진주시,일반경쟁,2020/05/19 17:55(-),,
용역,20200522893-00,일반,통신빅데이터 분석을 통한 해수욕장 피서객 집계용역,부산광역시 해운대구 관광시설관리사업소,부산광역시 해운대구 관광시설관리사업소,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 17:54(2020/05/26 10:00),,
용역,20200523523-00,일반,SW기업 해외시장진출지원 프로그램 운영 용역,재단법인 포항테크노파크,재단법인 포항테크노파크,일반(총액)협상에의한계약,2020/05/19 17:54(-),,
용역,20200523517-00,일반,서울대학교 약학대학 Spectrum Camera 냉각장치 수리 용역,서울대학교 약학대학,서울대학교 약학대학,제한(총액)규격가격동시,2020/05/19 17:53(2020/05/28 10:00),,
용역,20200523520-00,일반,영덕울진축협 종합유통센터 신축공사 입찰공고(감리용역),영덕울진축산업협동조합,영덕울진축산업협동조합,제한경쟁,2020/05/19 17:53(-),,
용역,20200522951-00,일반,아산시 생활자원처리장 폐열보일러 및 부대설비 세정용역,아산시시설관리공단,아산시시설관리공단,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 17:52(2020/05/25 10:00),,
용역,20200522285-01,취소,고수7리뒷마도시계획도로(소로3-38)개설사업 실시설계용역,경상북도 청도군,경상북도 청도군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/19 17:52(2020/05/25 10:00),,
용역,20200521887-00,일반,용장·신학천  재해예방사업 전략 및 소규모환경영향평가 용역,전라남도,전라남도,제한경쟁,2020/05/19 17:50(2020/05/27 10:00),,
용역,20200523482-00,일반,영상의학과 영상 외주 원격판독 용역(총액단가),부산대학교병원,부산대학교병원,제한(총액)규격가격동시,2020/05/19 17:49(2020/05/27 10:00),,
용역,20200523508-00,긴급,해삼·동자개 자원모식도 구축 및 혼획률 분석,한국수산자원공단동해본부,한국수산자원공단동해본부,제한(총액),2020/05/19 17:49(2020/05/25 10:00),,
용역,20200522370-00,일반,천연기념물 ONE 도동 측백나무숲 홍보관 전시컨텐츠 제작.설치 용역,대구광역시 동구,대구광역시 동구,제한(총액)협상에의한계약,2020/05/19 17:47(-),,
