업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),
용역,20200519058-00,일반,스마트 자재물류센터 구축 연구용역,서울교통공사,서울교통공사,일반(총액)협상에의한계약,2020/05/15 16:32(2020/06/05 10:00),
용역,E012004452-00,일반,계수.범박구역 배전간선 설치공사 기초자료 조사용역,한국전력공사,재무자재부,제한(총액),2020/05/15 16:31(2020/05/25 12:00),
용역,20200519064-00,일반,해외 혁신적 금융서비스 사례 및 시사점 연구용역,사단법인 한국핀테크지원센터,사단법인 한국핀테크지원센터,제한(총액)협상에의한계약,2020/05/15 16:30(2020/05/21 16:00),
용역,P2020-00032-00,일반,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 PMC 용역,한국국제협력단,한국국제협력단, ,2020/05/15 16:30(2020/06/25 15:00),
용역,20200517876-00,긴급,통합문화이용권(문화누리카드) 정보시스템 통합유지관리 및 운영,조달청 광주지방조달청,한국문화예술위원회,제한(총액)협상에의한계약,2020/05/15 16:27(2020/05/29 10:00),
용역,20200519036-00,일반,2020년 국도48호선 김포대학~아라대교A1구간 풀깎기용역,국토교통부 서울지방국토관리청 수원국토관리사무소,국토교통부 서울지방국토관리청 수원국토관리사무소,제한(총액),2020/05/15 16:26(2020/05/25 10:00),
용역,20200519031-00,일반,간행물 발송 용역 수의계약,한국은행,한국은행,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:23(2020/05/21 16:30),
용역,20200519038-00,일반,솔향가득 낭구촌 사석만들기 공사 석면폐기물 처리용역,전라북도 남원시,전라북도 남원시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:21(2020/05/21 10:00),
용역,20200519028-00,일반,구산면 일대 하수관로 정비공사 기본 및 실시설계용역 사업수행능력평가 안내(긴급),경상남도 창원시 하수도사업소,경상남도 창원시 하수도사업소,일반경쟁,2020/05/15 16:18(-),
용역,20200519027-00,일반,대구시 감정노동자 실태조사 및 보호방안 연구용역,대구광역시,대구광역시,제한(총액)협상에의한계약,2020/05/15 16:17(2020/05/27 17:00),
용역,20200518879-00,긴급,돼지열병 발생원 규명을 위한 음식물류폐기물 조사,조달청 인천지방조달청,환경부 국립환경과학원,수의(총액),2020/05/15 16:17(2020/05/20 14:30),
용역,20200519006-00,일반,통영 팔천곡 고분군 시굴조사 용역,경상남도 통영시,경상남도 통영시,제한(총액),2020/05/15 16:16(2020/05/21 11:00),
용역,20200519023-00,긴급,2020년 GAP 안전성 분석(토양.용수) 지원사업 대행 용역,전라북도 김제시,전라북도 김제시,제한경쟁,2020/05/15 16:14(2020/05/21 15:00),
용역,20200513930-00,일반,가상현실 스포츠실 설치 및 운영 사업 계약 요청,조달청 인천지방조달청,경기도교육청 경기도시흥교육지원청 은계초등학교,제한(총액)협상에의한계약,2020/05/15 16:11(2020/05/28 10:00),
용역,20200519013-00,긴급,죽변 해안스카이레일 통합발권시스템 구축 용역,경상북도 울진군,경상북도 울진군,제한(총액),2020/05/15 16:11(2020/05/21 10:00),
용역,20200518991-00,일반,2020학년도 문화예술 마을 방과후학교 오케스트라 위탁용역,충청남도교육청 충청남도논산계룡교육지원청,충청남도교육청 충청남도논산계룡교육지원청,제한(총액)규격가격동시,2020/05/15 16:11(2020/05/22 17:00),
용역,20200518688-00,일반,풋감 주정추출물 안전성평가 시험 용역,조달청 제주지방조달청,(재)제주테크노파크,제한(총액),2020/05/15 16:10(2020/05/21 12:00),
용역,20200518395-00,일반,농어촌마을하수도정비사업(고석) 폐기물처리용역,충청북도 보은군,충청북도 보은군,수의(총액)소액-견적입찰(2인 이상 견적 제출),2020/05/15 16:10(2020/05/21 10:00),
용역,20200519010-00,일반,국도48호선 김포 고촌 태리보도육교 시설물보수 실시설계용역,국토교통부 서울지방국토관리청 수원국토관리사무소,국토교통부 서울지방국토관리청 수원국토관리사무소,제한경쟁,2020/05/15 16:10(2020/05/25 10:00),
용역,20200518242-00,일반,인재개발원 구내식당(매점) 위탁운영업체 선정,한국농어촌공사 인재개발원,한국농어촌공사 인재개발원,일반(총액),2020/05/15 16:08(-),
용역,20200439125-00,일반,20년 총포화약안전관리시스템 유지보수,조달청 서울지방조달청,경찰청,제한(총액)협상에의한계약,2020/05/15 16:06(2020/05/26 10:00),
용역,20200517353-00,일반,2020년 학생·학부모 창의인성교육 용역,서울특별시,서울특별시,제한(총액)협상에의한계약,2020/05/15 16:06(2020/06/05 17:00),
