"업무","공고번호-차수","분류","공고명","공고기관","수요기관","계약방법","입력일시(입력마감일시)"
"용역","20200704568-00","긴급","외부메일시스템 재구축","한국산업은행","한국산업은행","제한(총액)협상에의한계약","2020/07/06 10:42(-)"
"용역","20200704751-00","일반","강동형 사회적경제 모델 및 사회적경제기업 활성화 로드맵 개발 연구용역","서울특별시 강동구","서울특별시 강동구","제한(총액)협상에의한계약","2020/07/06 10:42(-)"
"용역","20200703498-00","긴급","한국전통문화대학교 포털시스템 고도화(공간관리)","조달청 대전지방조달청","문화재청 한국전통문화대학교","제한(총액)협상에의한계약","2020/07/06 10:42(2020/07/17 10:00)"
"용역","20200704731-00","일반","환경순환형 가축분뇨공공처리시설 설치사업 사후환경영향조사용역(총괄및1차,가격입찰)","경상북도 군위군","경상북도 군위군","제한경쟁","2020/07/06 10:40(2020/07/14 14:00)"
"용역","20200704743-00","일반","고복자연공원 집단시설지구 등 활성화방안 용역","세종특별자치시","세종특별자치시","제한경쟁","2020/07/06 10:39(2020/07/14 10:00)"
"용역","20200640973-01","변경","서부서 신사지구대 증축(폐기물처리 용역)","경찰청 서울특별시지방경찰청","경찰청 서울특별시지방경찰청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:39(2020/07/08 11:00)"
"용역","20200704742-00","긴급","[긴급] 중앙대학교 한국형 온라인공개강좌(K-MOOC) 신규 콘텐츠 개발 제작","중앙대학교","중앙대학교","제한(총액)협상에의한계약","2020/07/06 10:38(-)"
"용역","20200704737-00","일반","망상오토캠핑리조트 재해복구사업 건설사업관리용역(PQ후 가격입찰)","강원도 동해시","강원도 동해시","일반경쟁","2020/07/06 10:36(2020/07/09 10:00)"
"용역","20200704636-00","긴급","2020년 한국컴패션 홈페이지/어플리케이션 API 개발 용역","사회복지법인 한국컴패션","사회복지법인 한국컴패션","제한(총액)협상에의한계약","2020/07/06 10:35(2020/07/20 10:00)"
"용역","20200704727-00","일반","[대학혁신지원사업]2020년 고려대학교(세종) K-MOOC 콘텐츠 개발 용역","고려대학교 세종캠퍼스","고려대학교 세종캠퍼스","제한(총액)협상에의한계약","2020/07/06 10:35(-)"
"용역","20200640681-01","취소","시장 네트워크운영 및 유지보수 업체선정","(주)코스콤","(주)코스콤","제한(총액)협상에의한계약","2020/07/06 10:32(2020/07/16 14:00)"
"용역","20200704720-00","일반","BI 지원사업 보조금 위탁정산기관 모집","사단법인 한국창업보육협회","사단법인 한국창업보육협회","제한(총액)협상에의한계약","2020/07/06 10:29(-)"
"용역","20200704713-00","일반","[가격입찰] 효자~상원간 도로건설공사 건설사업관리용역","경상북도","경상북도","지명경쟁","2020/07/06 10:27(2020/07/14 10:00)"
"용역","20200704703-00","긴급","2020 인천 MICE 청년 창업지원 교육·컨설팅 운영 용역","인천관광공사","인천관광공사","제한(총액)협상에의한계약","2020/07/06 10:24(2020/07/21 12:00)"
"용역","20200701180-00","일반","2020년 전통문화사진 디지털아카이브 운영 사업","(재)대한불교조계종 유지재단","(재)대한불교조계종 유지재단","일반경쟁","2020/07/06 10:24(-)"
"용역","20200702660-00","일반","2020 해외 한국어 교육 현황 및 지역별 세종학당 역할 확대 방안 연구","조달청 서울지방조달청","세종학당재단","제한(총액)협상에의한계약","2020/07/06 10:24(2020/07/17 10:00)"
"용역","20200704255-00","일반","2020년 안산시 단원구청 공용차량 보험가입","경기도 안산시 단원구","경기도 안산시 단원구","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:21(2020/07/10 14:00)"
"용역","20200704696-00","일반","광신방송예술고 내진성능평가 용역 소액수의 견적(입찰)서 제출 안내","서울특별시교육청 광신방송예술고등학교","서울특별시교육청 광신방송예술고등학교","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:18(2020/07/17 14:00)"
"용역","20200704421-00","일반","대전장대초 등 3교(하기중, 어은중)정문설치 및 보차도분리공사 설계용역","대전광역시교육청 대전광역시서부교육지원청","대전광역시교육청 대전광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:17(2020/07/10 10:00)"
"용역","20200704700-00","일반","경기 문화예술 정책축제 용역","재단법인경기문화재단","재단법인경기문화재단","제한(총액)협상에의한계약","2020/07/06 10:16(-)"
"용역","20200704697-00","긴급","5.18민주화운동 당시 중대한 인권침해사건의 국내법적 쟁점 연구","5.18민주화운동진상규명조사위원회","5.18민주화운동진상규명조사위원회","제한(총액)협상에의한계약","2020/07/06 10:15(2020/07/17 10:00)"
"용역","E012005965-00","일반","신탕정S/S 345kV #4M.Tr 증설공사 책임감리용역(PQ)","한국전력공사","재무자재부","일반(총액)","2020/07/06 10:14(2020/08/11 10:00)"
"용역","20200704495-00","일반","덕촌초등학교 외 1교 특별교실 증축 및 기타공사 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:14(2020/07/10 10:00)"
"용역","20200704427-00","일반","대전갈마초 등 3교(갑천초, 삼천초) 정문설치 및 노후포장 교체공사 설계용역","대전광역시교육청 대전광역시서부교육지원청","대전광역시교육청 대전광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:12(2020/07/10 10:00)"
"용역","20200704497-00","일반","덕촌초등학교 외 1교 특별교실 증축 및 기타 기계부문 설계용역","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:11(2020/07/10 10:00)"
"용역","20200704679-00","일반","『스마트 헬스케어 VR 보급·확산을 위한 미디어 제작 및 송출 용역』","대전대학교산학협력단","대전대학교산학협력단","일반(총액)협상에의한계약","2020/07/06 10:11(2020/07/10 17:00)"
"용역","20200704205-00","일반","대전송강중 등 3교(대덕중, 외삼초) 노후포장 개선 및 기타공사 설계용역","대전광역시교육청 대전광역시서부교육지원청","대전광역시교육청 대전광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:08(2020/07/10 10:00)"
"용역","20200704689-00","일반","도둔리 도시계획도로 개설공사(1공구) 폐기물처리용역","경기도 양주시","경기도 양주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:07(2020/07/10 10:00)"
"용역","20200704489-00","일반","덕촌초등학교 외 1교 특별교실 증축 및 기타 전기부문 설계용역 수의견적 제출 공고","경상북도교육청 경상북도구미교육지원청","경상북도교육청 경상북도구미교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:05(2020/07/10 10:00)"
"용역","2002470-00","일반","공공임대 산업시설 공급수요에 대한 설문조사","한국토지주택공사","한국토지주택공사","일반경쟁","2020/07/06 10:05(2020/07/17 17:00)"
"용역","20200704429-00","일반","가수원중 등 3교(변동중, 도안중) 정문설치 및 기타공사 설계용역","대전광역시교육청 대전광역시서부교육지원청","대전광역시교육청 대전광역시서부교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 10:02(2020/07/10 10:00)"
"용역","20200704610-00","일반","아이템 검증 및 고도화(스타트업 성장)사업 운영","군산대학교 산학협력단","군산대학교 산학협력단","제한(총액)협상에의한계약","2020/07/06 10:00(2020/07/16 11:00)"
"용역","20200704511-00","일반","영주시 가흥정수장 완속여과사 폐기물(폐여과사) 처리(재활용)용역","경상북도 영주시","경상북도 영주시","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 09:59(2020/07/10 10:00)"
"용역","20200641044-00","긴급","철산초 교실증축공사 건축사(상주) 감리용역","경기도교육청 경기도광명교육지원청","경기도교육청 경기도광명교육지원청","제한경쟁","2020/07/06 09:59(2020/07/13 10:00)"
"용역","20200704678-00","일반","고정밀 GNSS 임베디드 장비 시작품 제작 용역","재단법인 서울특별시 서울기술연구원","재단법인 서울특별시 서울기술연구원","일반(총액)협상에의한계약","2020/07/06 09:58(2020/07/17 17:00)"
"용역","20170103987-03","취소","수학여행서비스외 2종","조달청","각 수요기관","일반(3자단가)다수공급자물품계약","2020/07/06 09:57(2027/01/01 18:00)"
"용역","20200704669-00","일반","T5 이야기관 아카이브 공간개선 운영 용역","서울특별시","서울특별시 서부공원녹지사업소","제한(총액)협상에의한계약","2020/07/06 09:50(2020/07/17 16:00)"
"용역","20200700060-00","긴급","제주4·3사건 추가진상조사 보고서 I 영문 번역 및 1차 감수","재단법인 제주4·3평화재단","재단법인 제주4·3평화재단","일반(총액)협상에의한계약","2020/07/06 09:49(-)"
"용역","20200704652-00","일반","2020년 하반기 시특법 1종 및 2종 교량 정기점검용역(남부권)","세종특별자치시","세종특별자치시","제한경쟁","2020/07/06 09:43(2020/07/14 10:00)"
"용역","E062000370-00","일반","영흥발전본부 승강기 및 Lift Car 위탁관리 용역","한국남동발전(주)","총무노무부","제한(총액)","2020/07/06 09:43(2020/07/15 16:00)"
"용역","20200704656-00","일반","장애인 대상 실감콘텐츠 드림존 조성 위탁용역","한국콘텐츠진흥원","한국콘텐츠진흥원","제한(총액)협상에의한계약","2020/07/06 09:42(2020/08/17 11:00)"
"용역","20200704654-00","일반","2019년도 불법사금융 실태조사 추진계획","금융감독원","금융감독원","제한(총액)협상에의한계약","2020/07/06 09:42(2020/07/17 17:00)"
"용역","20200702438-00","일반","정림중~사정교간 도로개설 소규모 환경영향평가 용역","대전광역시","대전광역시","제한경쟁","2020/07/06 09:41(2020/07/14 10:00)"
"용역","U20S142000-00","일반","발전용수관로 노후 대체관 신설공사 폐기물처리용역","한국수력원자력주식회사","한국수력원자력(주) 한울원자력본부","일반(총액)","2020/07/06 09:40(2020/07/14 12:00)"
"용역","20200704650-00","긴급","2020 하반기 시군 인터넷 쇼핑몰 온라인 마케팅","재단법인 강원도경제진흥원","재단법인 강원도경제진흥원","제한(총액)협상에의한계약","2020/07/06 09:39(2020/07/16 17:00)"
"용역","20200704648-00","일반","기관 발전방안 마련을 위한 조직진단 용역","가축위생방역지원본부","가축위생방역지원본부","일반(총액)협상에의한계약","2020/07/06 09:38(2020/07/16 15:00)"
"용역","20200704476-00","긴급","온라인 세종학당 한국어 중급 강좌 콘텐츠 개발","조달청 서울지방조달청","세종학당재단","제한(총액)협상에의한계약","2020/07/06 09:33(2020/07/21 10:00)"
"용역","20200704637-00","일반","2020년 하반기 달전교 등 3개교 정밀안전점검용역","세종특별자치시","세종특별자치시","제한경쟁","2020/07/06 09:33(2020/07/14 10:00)"
"용역","20200704626-00","일반","딥러닝 기반 CCTV 지능형 선별 관제 시범 구축","재단법인 서울특별시 서울기술연구원","재단법인 서울특별시 서울기술연구원","제한(총액)협상에의한계약","2020/07/06 09:26(2020/07/17 17:00)"
"용역","20200704496-01","변경","스포츠안전 교육프로그램 고도화 연구","재단법인 스포츠안전재단","재단법인 스포츠안전재단","일반(총액)협상에의한계약","2020/07/06 09:22(2020/07/20 17:00)"
"용역","20200704613-00","일반","아산도서관 외 1청 내진보강 및 기타공사 폐기물처리용역","충청남도교육청 충청남도아산교육지원청","충청남도교육청 충청남도아산교육지원청","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 09:22(2020/07/14 12:00)"
"용역","20200704614-00","일반","2020년 하반기 시특법 1종 및 2종 교량 정기점검용역(북부권)","세종특별자치시","세종특별자치시","제한경쟁","2020/07/06 09:21(2020/07/14 10:00)"
"용역","20200704611-01","변경","[혁신지원사업]핵심역량 공통 교양교과 개발/수요분석을 통한 역량기반 전공 교육과정 개발 용역","마산대학 산학협력단","마산대학 산학협력단","제한(총액)협상에의한계약","2020/07/06 09:21(-)"
"용역","20200704336-00","일반","내촌면 화상대리(어은동) 소규모수도시설 신설사업 폐기물처리용역","강원도 홍천군","강원도 홍천군","제한(총액)","2020/07/06 09:18(2020/07/14 14:00)"
"용역","20200704264-00","긴급","미래기동무기체계 운용요구서","국방과학연구소","국방과학연구소","제한(총액)협상에의한계약","2020/07/06 09:18(2020/07/27 10:00)"
"용역","20200701823-00","일반","유성도서관 기능보강 및 생활문화공간 조성(폐기물 처리용역)","대전광역시 유성구 평생학습원","대전광역시 유성구 평생학습원","수의(총액)소액-견적입찰(2인 이상 견적 제출)","2020/07/06 09:16(2020/07/10 10:00)"
"용역","20200704463-00","일반","한국해양대학교 학생회관 개축공사 건축설계공모","한국해양대학교","한국해양대학교","제한경쟁","2020/07/06 09:14(-)"
"용역","20200704340-00","일반","홍천읍 상오안리 외 14개소 하수처리구역 하수관로 기술진단 용역","강원도 홍천군","강원도 홍천군","일반경쟁","2020/07/06 09:14(-)"
"용역","20200704090-01","취소","군외 근린생활형 국민체육센터 건립사업 감리용역","전라남도 완도군","전라남도 완도군","제한경쟁","2020/07/06 09:13(2020/07/09 10:00)"
